Tanggal (UTC),Jenis,Bujur,Lintang
20:28.0,Intra/Inter Cloud,"134,7852498","-4,208900106"
20:54.0,Intra/Inter Cloud,"134,7061132","-4,286655196"
21:24.0,Intra/Inter Cloud,"134,8396664","-4,105071052"
21:32.0,Positive Cloud to Ground,"134,8684307","-4,132972993"
22:07.0,Intra/Inter Cloud,"134,7379377","-4,226242917"
22:45.0,Intra/Inter Cloud,"134,6594086","-4,314762033"
23:04.0,Positive Cloud to Ground,"134,7475895","-3,874912799"
23:06.0,Negative Cloud to Ground,"134,6254893","-4,35755364"
24:03.0,Positive Cloud to Ground,"134,6211826","-4,21322443"
24:03.0,Negative Cloud to Ground,"134,810847","-4,216852789"
24:51.0,Negative Cloud to Ground,"134,7116233","-4,219305254"
25:06.0,Intra/Inter Cloud,"134,7281328","-4,332475058"
25:06.0,Positive Cloud to Ground,"134,9732042","-4,17463495"
25:11.0,Intra/Inter Cloud,"134,932647","-4,190805036"
25:19.0,Negative Cloud to Ground,"134,8678222","-4,319020673"
25:19.0,Intra/Inter Cloud,"134,777402","-4,214160568"
25:42.0,Positive Cloud to Ground,"134,6430722","-3,501329936"
26:25.0,Intra/Inter Cloud,"134,6161229","-4,185859916"
26:41.0,Positive Cloud to Ground,"134,7504283","-4,269712853"
27:02.0,Positive Cloud to Ground,"134,7517807","-4,193744234"
27:22.0,Negative Cloud to Ground,"134,7567981","-4,342230649"
27:30.0,Positive Cloud to Ground,"134,9033666","-3,860920502"
27:31.0,Intra/Inter Cloud,"134,831519","-3,825964016"
27:48.0,Positive Cloud to Ground,"134,6869755","-3,423769591"
28:38.0,Positive Cloud to Ground,"134,6631427","-4,34574747"
28:40.0,Intra/Inter Cloud,"134,5484813","-4,26074415"
28:40.0,Intra/Inter Cloud,"134,8158816","-3,858848062"
28:40.0,Negative Cloud to Ground,"134,6410692","-4,367077186"
29:34.0,Intra/Inter Cloud,"134,7740349","-3,661277594"
29:37.0,Intra/Inter Cloud,"134,8431053","-3,919453712"
30:17.0,Positive Cloud to Ground,"134,8028372","-4,324859529"
30:17.0,Intra/Inter Cloud,"134,664877","-4,368718985"
30:30.0,Positive Cloud to Ground,"134,8218752","-3,90991797"
31:46.0,Intra/Inter Cloud,"134,7284953","-3,556218034"
31:48.0,Positive Cloud to Ground,"134,6822395","-4,278191541"
32:03.0,Negative Cloud to Ground,"134,7224215","-4,325255778"
35:24.0,Intra/Inter Cloud,"134,5223375","-3,957552371"
37:05.0,Intra/Inter Cloud,"134,7898168","-3,86138679"
39:06.0,Positive Cloud to Ground,"134,6923239","-3,699227306"
41:53.0,Positive Cloud to Ground,"134,5274918","-3,893350179"
42:18.0,Negative Cloud to Ground,"134,5873238","-3,756674481"
45:46.0,Intra/Inter Cloud,"134,5677108","-3,64199941"
49:22.0,Positive Cloud to Ground,"134,6195049","-3,665800863"
50:15.0,Intra/Inter Cloud,"134,618313","-3,787782335"
52:53.0,Positive Cloud to Ground,"134,7012104","-3,588809002"
54:47.0,Negative Cloud to Ground,"134,7398293","-3,783373354"
57:03.0,Intra/Inter Cloud,"135,1415459","-2,442540508"
58:44.0,Intra/Inter Cloud,"135,1861346","-2,387847811"
58:45.0,Negative Cloud to Ground,"135,1114678","-2,393854786"
00:47.0,Intra/Inter Cloud,"135,3444977","-2,567057984"
00:47.0,Intra/Inter Cloud,"135,175411","-2,570634121"
00:48.0,Intra/Inter Cloud,"135,1304559","-2,517642696"
00:48.0,Intra/Inter Cloud,"135,2257576","-2,667507434"
00:48.0,Negative Cloud to Ground,"135,1770779","-2,438137769"
02:39.0,Intra/Inter Cloud,"135,1833218","-2,470764823"
02:39.0,Intra/Inter Cloud,"135,2098577","-2,619077029"
